From,To,Distance (km),Time (minutes)
Palika Kendra,Tolstoy Marg,0.5,3
Palika Kendra,Regal,1.2,8
Palika Kendra,Scindia House,0.9,5
Palika Kendra,Shivaji Stadium,1.8,10
Tolstoy Marg,Regal,0.7,4
Tolstoy Marg,Scindia House,1.3,9
Tolstoy Marg,Shivaji Stadium,2.1,12
Regal,Scindia House,0.6,3
Regal,Shivaji Stadium,1.5,7
Scindia House,Shivaji Stadium,1.1,6
INA Colony,AIIMS,0.5,4
INA Colony,Safdarjung Terminal,1.2,8
INA Colony,Kidwai Nagar,1.1,7
INA Colony,Lodhi Colony,1.6,10
AIIMS,Safdarjung Terminal,0.7,5
AIIMS,Kidwai Nagar,0.9,6
AIIMS,Lodhi Colony,1.8,11
Safdarjung Terminal,Kidwai Nagar,0.8,5
Safdarjung Terminal,Lodhi Colony,1.4,9
Kidwai Nagar,Lodhi Colony,1.0,6
Town Hall,St. Stephen's Church,0.6,4
Town Hall,Red Fort,1.1,7
Town Hall,Kashmere Gate,1.8,10
Town Hall,Old Delhi Railway Station,1.2,8
St. Stephen's Church,Red Fort,0.9,5
St. Stephen's Church,Kashmere Gate,1.5,8
St. Stephen's Church,Old Delhi Railway Station,1.3,7
Red Fort,Kashmere Gate,1.0,6
Red Fort,Old Delhi Railway Station,1.6,9
Kashmere Gate,Old Delhi Railway Station,1.2,7
ISBT Kashmere Gate,Mori Gate Terminal,0.5,3
ISBT Kashmere Gate,Shakti Nagar,1.3,8
ISBT Kashmere Gate,Tis Hazari Court,1.2,7
ISBT Kashmere Gate,Civil Lines,1.8,11
Mori Gate Terminal,Shakti Nagar,1.1,7
Mori Gate Terminal,Tis Hazari Court,0.9,6
Mori Gate Terminal,Civil Lines,1.5,9
Shakti Nagar,Tis Hazari Court,1.0,6
Shakti Nagar,Civil Lines,1.6,10
Tis Hazari Court,Civil Lines,1.2,7
New Delhi Railway Station Gate 1,Ajmeri Gate,0.6,4
New Delhi Railway Station Gate 1,JLN Marg,1.0,6
New Delhi Railway Station Gate 1,Kamla Market,1.2,7
New Delhi Railway Station Gate 1,CP New Delhi,0.9,5
Ajmeri Gate,JLN Marg,0.8,5
Ajmeri Gate,Kamla Market,1.1,7
Ajmeri Gate,CP New Delhi,1.3,8
JLN Marg,Kamla Market,0.9,5
JLN Marg,CP New Delhi,1.4,8
Kamla Market,CP New Delhi,1.0,6
Huda City Centre Terminal,IFFCO Chowk,1.2,8
Huda City Centre Terminal,Sector 29,1.5,9
Huda City Centre Terminal,Sector 44,1.8,11
Huda City Centre Terminal,Sushant Lok,2.0,12
IFFCO Chowk,Sector 29,0.9,6
