Unnamed: 0,Dilshad Garden,Jhilmil,Mansrover park,Shahdara,Welcome,Seelam Pur,Shastri Park,Kashmere Gate,Tis Hazari,Pul Bangash,Pratap Nagar,Shastri Nagar,Inder Lok,Kanhaiya Nagar,Keshav Puram,Netaji Subash Place,Kohat Enclave,Pitam Pura,RohiniEast,Rohini West,Rithala,Samaypur Badli,Rohini Sector - 18,Haiderpur,Jahangirpuri,Adarsh Nagar,Azadpur,Model Town,GTB Nagar,Vishwavidyalaya,Vidhan Sabha,Civil Lines,Chandhni Chowk,Chawri Bazar,New Delhi,Rajiv Chowk,Patel Chowk,Central Secretariat,Udyog Bhawan,Race Course,Jorbagh,INA,AIIMS,Green Park,Hauz Khas,Malviya Nagar,Saket,Qutab Minar,Chhattarpur,Sultanpur,Ghitorni,Arjan Garh,Gurudronacharya,Sikandarpur,MG Road,IFFCO Chowk,Huda City Centre,Noida City Centre,Golf Course,Botanical Garden,Noida Sect 18,Noida Sect 16,Noida Sect 15,New Ashok Nagar,Mayur Vihar Ext,Mayur Vihar-I,Akshardham,Indraprastha,Pragati Maidan,Mandi House,Barakhamba,RK Ashram Marg,Jhandewalan,Karol Bagh,Rajendra Place,Patel Nagar,Shadi Pur,Kirti Nagar,Moti Nagar,Ramesh Nagar,Rajouri Garden,Tagore Garden,Subash Nagar,Tilak Nagar,Janak Puri East,Janak Puri West,Uttam Nagar East,Uttam Nagar West,Nawada,Dwaraka Mor,Dwarka,Dwarka Sector - 14,Dwarka Sector - 13,Dwarka Sector - 12,Dwarka Sector - 11,Dwarka Sector - 10,Dwarka Sector - 9,Dwarka Sector - 8,Dwarka Sector - 21,Vaishali,Kaushambi,Anand Vihar,Karkar Duma,Preet Vihar,Nirman Vihar,Laxmi Nagar,Yamuna Bank,ITO,Janpath,Khan Market,JLN,Jangpura,Lajpat Nagar,Moolchand,Kailash Colony,Nehru Place,Kalkaji Mandir,Govindpuri,Okhla,Jasola-Apollo,Sarita Vihar,Mohan Estate,Tuglakabad,Badarpur,Sarai,NHPC Chowk,Mewala Maharajpur,Sector-28,Badkal Mor,Old Faridabad,Neelam Chowk Ajronda,Bata Chowk,Escorts Mujesar,Mundka,Rajdhani Park,Nangloai Rly. Station,Nangloai,Surajmal Stadium,Udyog Nagar,Peera Garhi,Paschim Vihar (West),Paschim Vihar (East),Madi Pur,Shivaji Park,Punjabi Bagh,Ashok Park Main,Satguru Ram Singh Marg,Lal Quila,Jama Masjid,Delhi Gate,Okhla Bird Sanctuary,Kalindi Kunj,Jasola Vihar,Okhla Vihar,Jamia Milia Islamiya,Sukhdev Vihar,NSIC Okhla,Majlis Park,Shalimar Bagh,Shakurpur,Punjabi Bagh West,ESI Hospital,Mayapuri,Naraina Vihar,Delhi Cantt.,Nehru Enclave,Greater Kailash,Chirag Delhi,Panchsheel Park,I.I.T,R.K. Puram,Munirka,Vasant Vihar,Shankar Vihar,IGD Airport,Sadar Bazar,Palam,Dashrathpuri,Dabri Mor,Mundka Industrial Area,Ghevra Metro Station,Tikri Kalan,Tikri Border,Modern Industrial Estate,Bus Stand,City Park,Durgabai Deshmukh South Campus,Sir Vishweshwaraiah Moti Bagh,Bhikaji Cama Place,Sarojini Nagar,South Extension,Trilokpuri Sanjay Lake,Vinod Nagar East,Vinod Nagar,I.P. Extension,Karkarduma Court,Krishna Nagar,East Azad Nagar,Jafrabad,Maujpur,Gokulpuri,Johri Enclave,Shiv Vihar,Shahid Nagar,Raj Bagh,Rajendra Nagar,Shyam Park,Mohan Nagar,Arthala,Hindon River,New Bus Adda,Sant Surdas,Raja Nahar Singh,Vinobapuri,Ashram,Hazrat Nizamuddin,Mayur Vihar Pkt-1,Sector-34 Noida,Sector-52 Noida,Sector-61 Noida,Sector-59 Noida,Sector-62 Noida,Noida Electronic City,Nangli,Najafgarh,Dhansa Bus Stand,Krishna Park Ext
Rajiv Chowk,13.695,12.813,11.686,10.56,9.37,8.28,6.61,4.27,5.43,6.39,7.23,8.97,10.18,11.31,12.08,13.54,14.83,15.81,16.62,17.92,18.96,17.922,17.065,15.255,14.029,12.734,11.271,9.894,8.6,7.7,6.46,5.36,3.08,1.9,1.25,0,1.24,2.05,2.68,4.04,5.36,6.62,7.44,8.42,10.08,11.85,12.84,14.73,16.075,17.674,19.016,21.741,24.232,25.145,26.444,27.842,29.333,17.943,16.654,15.217,14.119,12.933,11.977,10.818,9.78,8.57,6.731,3.41,2.58,1.67,0.6,1.24,2.3,3.45,4.51,5.44,6.72,7.62,8.56,9.75,10.7,11.85,12.71,13.64,14.68,15.6,16.96,17.95,19.01,20.17,21.51,23.04,23.97,24.86,25.93,26.92,28.01,29.001,30.765,13.431,11.807,10.946,9.888,8.616,7.612,6.495,5.202,2.641,3.378,4.467,6.12,7.009,8.525,9.296,10.602,11.693,12.531,13.3,14.718,15.859,17.024,18.212,20.232,21.412,22.579,24.862,25.886,27.026,28.744,30.078,31.533,32.836,34.599,22.944,21.633,20.432,19.591,18.692,18.011,16.851,15.908,14.905,14.186,13.111,11.567,10.667,8.671,5.858,5.055,3.752,17.25,18.828,18.638,16.833,15.872,14.67,13.509,13.501,12.952,14,12.16,11.611,12.343,13.974,15.811,13.221,13.482,12.656,11.745,11.149,12.087,13.422,14.929,17.001,19.26,21.288,20.317,18.82,17.186,24.246,26.324,28.174,29.474,30.718,32.287,34.057,12.027,10.683,9.029,7.676,7.967,10.912,11.927,12.833,13.076,11.213,11.584,10.665,11.188,12.33,13.64,14.936,15.881,14.92,16.188,17.318,18.518,19.838,20.631,22.121,23.062,36.313,37.966,9.782,10.972,12.935,9.389,18.874,20.011,21.415,22.383,23.537,24.798,23.155,25.521,26.489,17.936
INA,20.315,19.433,18.306,17.18,15.99,14.9,13.23,10.89,12.05,13.01,13.85,15.59,16.8,17.93,18.7,20.16,21.45,22.43,23.24,24.54,25.58,24.542,23.685,21.875,20.649,19.354,17.891,16.514,15.22,14.32,13.08,11.98,9.7,8.52,7.87,6.62,5.38,4.57,3.94,2.58,1.26,0,0.82,1.8,3.46,5.23,6.22,8.11,9.455,11.054,12.396,15.121,17.612,18.525,19.824,21.222,22.713,21.445,20.156,18.719,17.621,16.435,15.479,14.32,13.282,12.072,12.86,9.539,8.709,7.799,7.22,7.86,8.92,10.07,11.13,12.06,13.34,14.24,15.18,15.262,14.312,15.462,16.322,17.252,18.292,19.212,20.572,21.562,22.622,23.782,25.122,26.652,27.582,28.472,29.542,30.532,31.622,32.613,34.377,19.56,17.936,17.075,16.017,14.745,13.741,12.624,11.331,8.77,5.898,6.987,5.58,4.691,3.175,3.946,5.252,6.343,7.181,7.95,9.368,10.509,11.674,12.862,14.882,16.062,17.229,19.512,20.536,21.676,23.394,24.728,26.183,27.486,29.249,28.043,26.732,25.531,24.69,23.791,23.11,21.95,21.007,20.004,19.285,18.21,17.852,17.287,15.291,12.071,11.184,9.881,16.881,15.303,13.288,11.483,10.522,9.32,8.159,20.121,19.572,19.099,17.259,15.223,12.669,11.038,9.191,7.871,6.862,6.036,5.125,4.529,5.467,6.802,8.309,10.381,12.64,14.668,17.793,19.29,20.798,29.345,31.423,33.273,34.573,35.817,37.386,39.156,5.407,4.063,2.409,1.056,1.347,14.414,15.429,16.335,17.686,17.342,18.148,17.285,17.808,18.95,20.26,21.556,22.501,21.54,22.808,23.938,25.138,26.458,27.251,28.741,29.682,30.963,32.616,4.432,5.622,7.707,12.891,22.376,23.513,24.917,25.885,27.039,28.3,26.767,29.133,30.101,21.548
Chandhni Chowk,10.615,9.733,8.606,7.48,6.29,5.2,3.53,1.19,2.35,3.31,4.15,5.89,7.1,8.23,9,10.46,11.75,12.73,13.54,14.84,15.88,14.842,13.985,12.175,10.949,9.654,8.191,6.814,5.52,4.62,3.38,2.28,0,1.18,1.83,3.08,4.32,5.13,5.76,7.12,8.44,9.7,10.52,11.5,13.16,14.93,15.92,17.81,19.155,20.754,22.096,24.821,27.312,28.225,29.524,30.922,32.413,21.023,19.734,18.297,17.199,16.013,15.057,13.898,12.86,11.65,9.811,6.49,5.66,4.75,3.68,4.32,5.38,6.53,7.59,8.52,9.8,10.7,11.64,12.83,13.062,14.212,15.072,16.002,17.042,17.962,19.322,20.312,21.372,22.532,23.872,25.402,26.332,27.222,28.292,29.282,30.372,31.363,33.127,14.178,12.554,11.693,10.635,11.696,10.692,9.575,8.282,5.721,6.458,7.547,9.2,10.089,11.605,12.376,13.682,14.773,15.611,16.38,17.798,18.939,20.104,21.292,23.312,24.492,25.659,27.942,28.966,30.106,31.824,33.158,34.613,35.916,37.679,20.899,19.588,18.387,17.546,16.647,15.966,14.806,13.863,12.86,12.141,11.066,9.522,8.622,10.618,2.778,3.665,4.968,20.33,21.908,21.718,19.913,18.952,17.75,16.589,10.421,9.872,11.583,10.115,12.151,14.705,16.336,18.183,16.301,16.562,15.736,14.825,14.229,15.167,16.502,18.009,20.081,22.34,24.368,22.679,21.182,19.548,22.201,24.279,26.129,27.429,28.673,30.242,32.012,15.107,13.763,12.109,10.756,11.047,13.992,15.007,15.174,13.823,9.31,8.504,7.585,8.108,9.25,10.56,11.856,12.801,11.84,13.108,14.238,15.438,16.758,17.551,19.041,19.982,39.393,41.046,12.862,14.052,16.015,12.469,21.954,23.091,24.495,25.463,26.617,27.878,25.517,27.883,28.851,20.298
Kashmere Gate,9.425,8.543,7.416,6.29,5.1,4.01,2.34,0,1.16,2.12,2.96,4.7,5.91,7.04,7.81,9.27,10.56,11.54,12.35,13.65,14.69,13.652,12.795,10.985,9.759,8.464,7.001,5.624,4.33,3.43,2.19,1.09,1.19,2.37,3.02,4.27,5.51,6.32,6.95,8.31,9.63,10.89,11.71,12.69,14.35,16.12,17.11,19,20.345,21.944,23.286,26.011,28.502,29.415,30.714,32.112,33.603,22.133,20.844,19.407,18.309,17.123,16.167,15.008,13.97,12.76,10.921,7.6,6.77,5.86,4.87,5.51,6.57,7.72,8.78,9.71,10.99,10.479,11.419,12.609,11.872,13.022,13.882,14.812,15.852,16.772,18.132,19.122,20.182,21.342,22.682,24.212,25.142,26.032,27.102,28.092,29.182,30.173,31.937,12.988,11.364,10.503,9.445,10.717,11.721,10.685,9.392,4.889,7.648,8.737,10.39,11.279,12.795,13.566,14.872,15.963,16.801,17.57,18.988,20.129,21.294,22.482,24.502,25.682,26.849,29.132,30.156,31.296,33.014,34.348,35.803,37.106,38.869,19.709,18.398,17.197,16.356,15.457,14.776,13.616,12.673,11.67,10.951,9.876,8.332,7.432,9.428,1.588,2.475,3.778,21.44,23.018,22.908,21.103,20.142,18.94,17.779,9.231,8.682,10.393,8.925,10.961,13.515,15.146,16.993,17.491,17.752,16.926,16.015,15.419,16.357,17.692,19.199,21.271,23.53,24.614,21.489,19.992,18.358,21.011,23.089,24.939,26.239,27.483,29.052,30.822,16.297,14.953,13.299,11.946,12.237,15.102,14.89,13.984,12.633,8.12,7.314,6.395,6.918,8.06,9.37,10.666,11.611,10.65,11.918,13.048,14.248,15.568,16.361,17.851,18.792,40.583,42.236,14.052,15.242,17.125,13.579,23.064,24.201,25.605,26.573,27.727,28.988,24.327,26.693,27.661,19.108
New Delhi,12.445,11.563,10.436,9.31,8.12,7.03,5.36,3.02,4.18,5.14,5.98,7.72,8.93,10.06,10.83,12.29,13.58,14.56,15.37,16.67,17.71,16.672,15.815,14.005,12.779,11.484,10.021,8.644,7.35,6.45,5.21,4.11,1.83,0.65,0,1.25,2.49,3.3,3.93,5.29,6.61,7.87,8.69,9.67,11.33,13.1,14.09,15.98,17.325,18.924,20.266,22.991,25.482,26.395,27.694,29.092,30.583,19.193,17.904,16.467,15.369,14.183,13.227,12.068,11.03,9.82,7.981,4.66,3.83,2.92,1.85,2.49,3.55,4.7,5.76,6.69,7.97,8.87,9.81,11,11.95,13.1,13.96,14.89,15.93,16.85,18.21,19.2,20.26,21.42,22.76,24.29,25.22,26.11,27.18,28.17,29.26,30.251,32.015,14.681,13.057,12.196,11.138,9.866,8.862,7.745,6.452,3.891,4.628,5.717,7.37,8.259,9.775,10.546,11.852,12.943,13.781,14.55,15.968,17.109,18.274,19.462,21.482,22.662,23.829,26.112,27.136,28.276,29.994,31.328,32.783,34.086,35.849,22.729,21.418,20.217,19.376,18.477,17.796,16.636,15.693,14.69,13.971,12.896,11.352,10.452,9.921,4.608,5.495,5.002,18.5,20.078,19.888,18.083,17.122,15.92,14.759,12.251,11.702,13.413,11.945,12.861,13.593,15.224,17.061,14.471,14.732,13.906,12.995,12.399,13.337,14.672,16.179,18.251,20.51,22.538,21.567,20.07,18.436,24.031,26.109,27.959,29.259,30.503,32.072,33.842,13.277,11.933,10.279,8.926,9.217,12.162,13.177,14.083,14.326,11.14,10.334,9.415,9.938,11.08,12.39,13.686,14.631,13.67,14.938,16.068,17.268,18.588,19.381,20.871,21.812,37.563,39.216,11.032,12.222,14.185,10.639,20.124,21.261,22.665,23.633,24.787,26.048,24.405,26.771,27.739,19.186
Huda City Centre,43.028,42.146,41.019,39.893,38.703,37.613,35.943,33.603,34.763,35.723,36.563,38.303,39.513,40.643,41.413,42.873,44.163,45.143,45.953,47.253,48.293,47.255,46.398,44.588,43.362,42.067,40.604,39.227,37.933,37.033,35.793,34.693,32.413,31.233,30.583,29.333,28.093,27.283,26.653,25.293,23.973,22.713,21.893,20.913,19.253,17.483,16.493,14.603,13.258,11.659,10.317,7.592,5.101,4.188,2.889,1.491,0,39.152,37.863,36.426,37.524,38.71,38.192,37.033,35.995,34.785,35.573,32.252,31.422,30.512,29.933,30.573,31.633,32.783,33.843,34.773,36.053,36.953,37.893,37.975,37.025,38.175,39.035,39.965,39.223,38.303,39.663,40.653,41.713,42.873,44.213,45.743,46.673,47.563,48.633,49.623,50.713,51.704,53.468,42.273,40.649,39.788,38.73,37.458,36.454,35.337,34.044,31.483,28.611,29.7,28.293,27.404,25.888,26.659,26.622,25.531,24.693,25.462,26.88,28.021,29.186,30.374,32.394,33.574,34.741,37.024,38.048,39.188,40.906,42.24,43.695,44.998,46.761,50.756,49.445,48.244,47.403,46.504,45.823,44.663,43.72,42.717,41.998,40.923,40.565,40,38.004,34.784,33.897,32.594,34.393,32.815,30.8,28.995,28.034,26.832,25.671,42.834,42.285,41.812,39.972,37.936,35.382,33.751,31.904,24.003,22.655,21.829,20.918,20.322,21.26,22.595,24.102,26.174,28.433,30.461,33.586,35.083,36.717,52.058,54.136,55.986,57.286,58.53,60.099,61.869,28.12,26.776,25.122,23.769,24.06,37.127,38.142,39.048,40.399,40.055,40.861,39.998,40.521,41.663,42.973,44.269,45.214,44.253,45.521,46.651,47.851,49.171,49.964,51.454,52.395,48.475,50.128,27.145,28.335,30.42,35.604,40.083,41.22,42.624,43.592,44.746,46.007,45.858,48.224,49.192,40.639
Rajendra Place,18.205,17.323,16.196,15.07,13.88,12.79,11.12,8.78,9.94,10.9,10.629,8.889,7.679,8.809,9.579,10.613,11.903,12.883,13.693,14.993,16.033,20.498,19.641,17.831,16.605,15.31,13.847,14.404,13.11,12.21,10.97,9.87,7.59,6.41,5.76,4.51,5.75,6.56,7.19,8.55,9.87,11.13,11.95,12.93,14.59,16.36,17.35,19.24,20.585,22.184,23.526,26.251,28.742,29.655,30.954,32.352,33.843,22.453,21.164,19.727,18.629,17.443,16.487,15.328,14.29,13.08,11.241,7.92,7.09,6.18,5.11,3.27,2.21,1.06,0,0.93,2.21,3.11,4.05,5.24,6.19,7.34,8.2,9.13,10.17,11.09,12.45,13.44,14.5,15.66,17,18.53,19.46,20.35,21.42,22.41,23.5,24.491,26.255,17.941,16.317,15.456,14.398,13.126,12.122,11.005,9.712,7.151,7.888,8.977,10.63,11.519,13.035,13.806,15.112,16.203,17.041,17.81,19.228,20.369,21.534,22.722,24.742,25.922,27.089,29.372,30.396,31.536,33.254,34.588,36.043,37.346,39.109,18.434,17.123,15.922,15.081,14.182,13.501,12.341,11.398,10.395,9.676,8.601,7.057,6.157,4.161,10.368,9.565,8.262,21.76,23.338,23.148,21.343,20.382,19.18,18.019,16.077,12.166,9.49,7.65,7.101,7.833,9.464,11.311,17.731,17.992,17.166,16.255,15.659,16.597,17.932,19.439,21.511,20.96,18.932,15.807,14.31,12.676,19.736,21.814,23.664,24.964,26.208,27.777,29.547,15.095,15.193,13.539,12.186,12.477,15.422,16.437,17.343,17.586,15.723,16.094,15.175,15.698,16.84,18.15,19.446,20.391,19.43,20.698,21.828,23.028,24.348,25.141,26.631,27.572,40.823,42.476,14.292,15.482,17.445,13.899,23.384,24.521,25.925,26.893,28.047,29.308,18.645,21.011,21.979,13.426
Lajpat Nagar,22.22,21.338,20.211,19.085,17.895,16.805,15.135,12.795,13.955,14.915,15.755,17.495,18.705,19.835,20.605,22.065,23.355,24.335,25.145,26.445,27.485,26.447,25.59,23.78,22.554,21.259,19.796,18.419,17.125,16.225,14.985,13.885,11.605,10.425,9.775,8.525,7.285,6.475,7.105,5.755,4.435,3.175,3.995,4.975,6.635,8.405,9.395,11.285,12.63,14.229,15.571,18.296,20.787,21.7,22.999,24.397,25.888,18.27,16.981,15.544,14.446,13.26,12.304,11.145,10.107,8.897,10.736,11.444,10.614,9.704,9.125,9.765,10.825,11.975,13.035,13.965,15.245,16.145,17.085,18.275,17.487,18.637,19.497,20.427,21.467,22.387,23.747,24.737,25.797,26.957,28.297,29.827,30.757,31.647,32.717,33.707,34.797,35.788,37.552,19.126,17.502,16.641,16.951,15.679,14.675,13.558,12.265,10.675,7.803,4.058,2.405,1.516,0,0.771,2.077,3.168,4.006,4.775,6.193,7.334,8.499,9.687,11.707,12.887,14.054,16.337,17.361,18.501,20.219,21.553,23.008,24.311,26.074,31.218,29.907,28.706,27.865,26.966,26.285,25.125,24.182,23.179,22.46,21.385,20.092,19.192,17.196,13.976,13.089,11.786,13.706,12.128,10.113,8.308,7.347,6.145,4.984,22.026,21.477,22.274,20.434,18.398,15.844,14.213,12.366,4.696,6.044,6.87,7.781,7.704,8.642,9.977,11.484,13.556,15.815,17.843,20.968,22.465,23.973,32.52,34.598,36.448,37.748,38.992,40.561,42.331,8.582,7.238,5.584,4.231,1.828,11.239,12.254,13.16,14.511,18.276,19.082,19.19,19.713,20.855,22.165,23.461,24.406,23.445,24.713,25.843,27.043,28.363,29.156,30.646,31.587,27.788,29.441,1.257,2.447,4.532,9.716,19.201,20.338,21.742,22.71,23.864,25.125,29.942,32.308,33.276,24.723
Karol Bagh,17.145,16.263,15.136,14.01,12.82,11.73,10.06,7.72,8.88,9.84,10.68,9.949,8.739,9.869,10.639,11.673,12.963,13.943,14.753,16.053,17.093,21.372,20.515,18.705,17.479,16.184,14.721,13.344,12.05,11.15,9.91,8.81,6.53,5.35,4.7,3.45,4.69,5.5,6.13,7.49,8.81,10.07,10.89,11.87,13.53,15.3,16.29,18.18,19.525,21.124,22.466,25.191,27.682,28.595,29.894,31.292,32.783,21.393,20.104,18.667,17.569,16.383,15.427,14.268,13.23,12.02,10.181,6.86,6.03,5.12,4.05,2.21,1.15,0,1.06,1.99,3.27,4.17,5.11,6.3,7.25,8.4,9.26,10.19,11.23,12.15,13.51,14.5,15.56,16.72,18.06,19.59,20.52,21.41,22.48,23.47,24.56,25.551,27.315,16.881,15.257,14.396,13.338,12.066,11.062,9.945,8.652,6.091,6.828,7.917,9.57,10.459,11.975,12.746,14.052,15.143,15.981,16.75,18.168,19.309,20.474,21.662,23.682,24.862,26.029,28.312,29.336,30.476,32.194,33.528,34.983,36.286,38.049,19.494,18.183,16.982,16.141,15.242,14.561,13.401,12.458,11.455,10.736,9.661,8.117,7.217,5.221,9.308,8.505,7.202,20.7,22.278,22.088,20.283,19.322,18.12,16.959,16.951,13.226,10.55,8.71,8.161,8.893,10.524,12.371,16.671,16.932,16.106,15.195,14.599,15.537,16.872,18.379,20.451,22.02,19.992,16.867,15.37,13.736,20.796,22.874,24.724,26.024,27.268,28.837,30.607,15.477,14.133,12.479,11.126,11.417,14.362,15.377,16.283,16.526,14.663,15.034,14.115,14.638,15.78,17.09,18.386,19.331,18.37,19.638,20.768,21.968,23.288,24.081,25.571,26.512,39.763,41.416,13.232,14.422,16.385,12.839,22.324,23.461,24.865,25.833,26.987,28.248,19.705,22.071,23.039,14.486
Saket,26.535,25.653,24.526,23.4,22.21,21.12,19.45,17.11,18.27,19.23,20.07,21.81,23.02,24.15,24.92,26.38,27.67,28.65,29.46,30.76,31.8,30.762,29.905,28.095,26.869,25.574,24.111,22.734,21.44,20.54,19.3,18.2,15.92,14.74,14.09,12.84,11.6,10.79,10.16,8.8,7.48,6.22,5.4,4.42,2.76,0.99,0,1.89,3.235,4.834,6.176,8.901,11.392,12.305,13.604,15.002,16.493,22.659,21.37,19.933,21.031,22.217,21.699,20.54,19.502,18.292,19.08,15.759,14.929,14.019,13.44,14.08,15.14,16.29,17.35,18.28,19.56,20.46,21.4,21.482,20.532,21.682,22.542,23.472,22.73,21.81,23.17,24.16,25.22,26.38,27.72,29.25,30.18,31.07,32.14,33.13,34.22,35.211,36.975,25.78,24.156,23.295,22.237,20.965,19.961,18.844,17.551,14.99,12.118,13.207,11.8,10.911,9.395,10.166,10.129,9.038,8.2,8.969,10.387,11.528,12.693,13.881,15.901,17.081,18.248,20.531,21.555,22.695,24.413,25.747,27.202,28.505,30.268,34.263,32.952,31.751,30.91,30.011,29.33,28.17,27.227,26.224,25.505,24.43,24.072,23.507,21.511,18.291,17.404,16.101,17.9,16.322,14.307,12.502,11.541,10.339,9.178,26.341,25.792,25.319,23.479,21.443,18.889,17.258,15.411,7.51,6.162,5.336,4.425,3.829,4.767,6.102,7.609,9.681,11.94,13.968,17.093,18.59,20.224,35.565,37.643,39.493,40.793,42.037,43.606,45.376,11.627,10.283,8.629,7.276,7.567,20.634,21.649,22.555,23.906,23.562,24.368,23.505,24.028,25.17,26.48,27.776,28.721,27.76,29.028,30.158,31.358,32.678,33.471,34.961,35.902,31.982,33.635,10.652,11.842,13.927,19.111,23.59,24.727,26.131,27.099,28.253,29.514,29.365,31.731,32.699,24.146
